OBJECTID_1 *,Shape *,OBJECTID,Shape_1,Sitename,site_addre,street_nam,house_num,location_t,location_n,scientific,tree_num,remarks,remarks_A,priority,elctricit,date,date_sourc,uniqueld,Tree_Name_,point_X,point_Y,Tree_nam_1,Tree_nam_2,scientif_1,Total_Num_,CombinedTr,comments_O,CombNameHe,Name_Eng,Name_Heb,Tree_Type_,Tree_Typ_1,Tree_Typ_2,x,y
50,Point,30463,Point, ,????? ???? 33,????? ????,33,?????, , , , , ,#NULL!, ,#NULL!,Survey 2016,628-30463,178,176788.047,659890.225,?????? ??? ??????,?????? ???-??????,Jacaranda mimosifolia,1403,?????? ???-?????? (Jacaranda mimosifolia), ,193,163,178,??,????? ??????,??????,34.75274546755691,32.03140656846265
51,Point,37042,Point, ,????? ???? 8,????? ????,8,???? ????,???? ?????? ???????, , ,??????,??????,#NULL!, ,#NULL!,Survey 2016,628-37042,178,176757.982,660033.353,?????? ??? ??????,?????? ???-??????,Jacaranda mimosifolia,1403,?????? ???-?????? (Jacaranda mimosifolia), ,193,163,178,??,????? ??????,??????,34.75242086215907,32.03269612960009
52,Point,37831,Point, ,????? ???? 6,????? ????,6,????, , , , , ,#NULL!, ,#NULL!,Survey 2016,628-37831,178,176765.251,660073.986,?????? ??? ??????,?????? ???-??????,Jacaranda mimosifolia,1403,?????? ???-?????? (Jacaranda mimosifolia), ,193,163,178,??,????? ??????,??????,34.75249601286728,32.03306282276443
53,Point,35607,Point, ,????? ???? 12,????? ????,12,????, , , , , ,#NULL!, ,#NULL!,Survey 2016,628-35607,181,176751.731,659998.416,???? ????,???? ????, Dalbergia sissoo,1910,???? ???? ( Dalbergia sissoo), ,196,20,181,??,??? ????,?????,34.752356236287085,32.03238083999456
54,Point,23894,Point, ,??????? 20-26,???????,20-26,?????,??? ???? ?????? ???? ???, , , , ,#NULL!, ,#NULL!,Survey 2016,628-23894,194,176952.066,660065.982,????? ???????,????? ???????,Ficus benjamina,492,????? ??????? (Ficus benjamina), ,210,139,194,??,??? ????,?????,34.754474012065565,32.03299767683062
55,Point,23741,Point, ,????? ???? 34-24,????? ????,34-24,????, , , , , ,#NULL!, ,#NULL!,Survey 2016,628-23741,211,176822.165,659860.678,??????????,????? ??-??????,Koelreuteria bipinnata,417,????? ??-?????? (Koelreuteria bipinnata), ,226,167,211,??,????? ??????,??????,34.75310794498947,32.03114140625607
56,Point,33678,Point, ,????? ???? 18,????? ????,18,????, , , , , ,#NULL!, ,#NULL!,Survey 2016,628-33678,211,176737.361,659918.095,??????????,????? ??-??????,Koelreuteria bipinnata,417,????? ??-?????? (Koelreuteria bipinnata), ,226,167,211,??,????? ??????,??????,34.7522076741784,32.031655981514334
57,Point,34261,Point, ,????? ???? 16,????? ????,16,????, , , , , ,#NULL!, ,#NULL!,Survey 2016,628-34261,211,176742.151,659944.869,??????????,????? ??-??????,Koelreuteria bipinnata,417,????? ??-?????? (Koelreuteria bipinnata), ,226,167,211,??,????? ??????,??????,34.752257194614245,32.03189760403981
58,Point,34918,Point, ,????? ???? 14,????? ????,14,????, , , , , ,#NULL!, ,#NULL!,Survey 2016,628-34918,211,176746.941,659971.643,??????????,????? ??-??????,Koelreuteria bipinnata,417,????? ??-?????? (Koelreuteria bipinnata), ,226,167,211,??,????? ??????,??????,34.75230671530237,32.03213922653913
59,Point,38637,Point, ,????? ???? 4,????? ????,4,????, , , , , ,#NULL!, ,#NULL!,Survey 2016,628-38637,211,176772.521,660114.619,??????????,????? ??-??????,Koelreuteria bipinnata,417,????? ??-?????? (Koelreuteria bipinnata), ,226,167,211,??,????? ??????,??????,34.75257117474274,32.033429515906256
60,Point,23899,Point, ,??????? 20-22,???????,20-22,?????, , , , , ,#NULL!, ,#NULL!,Survey 2016,628-23899,230,176952.066,660065.982,????????? ??????,???????? ??????,Callistemon viminalis,43,???????? ?????? (Callistemon viminalis), ,245,80,230,?? ???,??? ????,??????,34.754474012065565,32.03299767683062
